CD,Misc,PMID,label,title,abstract
CD012164,0,27467230,0,"Successful Treatment of Chronic Venous Ulcers With a 1,320-nm Endovenous Laser Combined With Other Minimally Invasive Venous Procedures.",Venous ulcers are very common with few curative treatment options.
CD012164,0,7976095,1,Vein surgery with or without skin grafting versus conservative treatment for leg ulcers. A randomized prospective study.,"In order for us to evaluate the efficiency of perforator vein surgery and skin grafting in leg ulcer patients, 47 patients were randomized into 3 treatment groups (group A: surgery for incompetent perforators, group B: surgery for incompetent perforators and ulcer excision followed by grafting, group C: control group). All the patients were treated with a compression bandage. When cellulitis was observed, a systemic antibiotic was given; eczema was treated with a steroid ointment. Fourty patients were evaluated regularly during one year after entry. There were no differences between the 3 treatment groups considering base-line characteristics, median ulcer size at entry and after one year. According to a review of the initial phlebograms, the occurrence of post-thrombotic changes in the deep veins were recorded in the majority of the legs. Our results suggest that ligation of incompetent perforators and skin grafting, as used in the present study, may not offer an additional advantage for venous ulcer patients with insufficiency of the deep veins when compared to conservative treatment. However, the removal of insufficient superficial veins was not studied."
CD012164,0,26004968,0,A prospective randomized study comparing polidocanol foam sclerotherapy with surgical treatment of patients with primary chronic venous insufficiency and ulcer.,To compare polidocanol foam sclerotherapy with surgical treatment of patients with primary chronic venous insufficiency and active ulcer treated at a single vascular center.
CD012164,0,22160028,0,Endovascular procedures in the management of DVT.,"The post-thrombotic syndrome (PTS) develops in 25%-50% of patients with proximal lower extremity deep vein thrombosis (DVT) despite the use of standard anticoagulant therapy and elastic compression stockings. PTS is a major cause of quality of life impairment in DVT patients and often leads to limiting venous claudication, work disability, and venous ulcers. Endovascular thrombolytic procedures that eliminate venous thrombus, restore venous flow, and show strong potential to prevent PTS are now under study in multicenter randomized clinical trials. In addition, endovascular procedures can be used to treat valvular reflux and venous obstruction and thereby provide symptom improvement to patients with chronic established PTS."
CD012164,0,18992425,0,The present status of surgery of the superficial venous system in the management of venous ulcer and the evidence for the role of perforator interruption.,"Superficial venous hypertension has been cited as the putative etiologic factor in advanced chronic venous insufficiency with venous ulcer (CEAP C 5/6). For over a century, influenced by this belief, surgeons have ablated the superficial venous system as a treatment for venous ulcer. Incompetent perforating veins (ICPVs) have become a particular focus of this therapeutic strategy. This review examines the evidence for the surgical approach. A MEDLINE search of the literature identified only four randomized controlled trials (RCTs) directed at the surgical reduction of superficial venous hypertension. Risk ratios for ulcer healing and prevention of recurrence were calculated to determine benefits for these four RCTs, while mortality and morbidity, where available, was used to determine risk from the procedure. In addition, the quality of the trials (design and outcomes) was assessed. While two trials compared ICPV ligation to compression, the great saphenous vein (GSV) was also treated in many of these limbs, which confounds the results. By contrast, two RCTs, which compared treatment of the GSV alone to compression, demonstrated a significant reduction in the incidence of ulcer recurrence. Case series that employed hemodynamic or surrogate outcomes showed little effect on the addition of ICPV treatment to GSV stripping, while GSV ablation alone was associated with a reduction in the number of ICPVs in several studies. This review suggests a grade 1A recommendation for the treatment of venous ulcer by GSV ablation to reduce ulcer recurrence. The role of ICPV ablation alone or concomitant with GSV treatment awaits results of properly conducted RCTs."
CD012164,0,18802884,0,Comprehensive management for venous stasis ulcers.,"Traditional treatment of venous stasis ulceration has focused on compression therapy, debridement, and topical wound management. Prospective randomized studies have shown that only two additional treatment modalities are effective in healing venous ulceration: pentoxyphylline and bilayered living-cell therapy. Although initial healing rates of up to 75% can be accomplished, there is an unacceptably high recurrence rate that is thought to be due to patient noncompliance. However, recurrence of venous stasis ulceration is more likely secondary to uncorrected venous hypertension, a disease whose causes have been largely ignored in wound treatment. Few previous studies show improved healing rates of ulcers after surgical correction of venous hypertension with saphenous stripping. Venous pathology responsible for venous hypertension can now be easily corrected with new minimally invasive techniques. The purpose of this chapter is to define venous hypertension in patients with ulceration, and provide evidence that surgical treatment to eliminate venous hypertension combined with evidence-based treatment strategies will not only improve short-term outcomes but will also prevent recurrent ulceration."
CD012164,0,11331845,0,Endoscopic versus open subfascial division of incompetent perforating veins in the treatment of venous leg ulceration: long-term follow-up.,"Subfascial division of incompetent perforating veins seems to be a successful treatment for patients with venous leg ulceration (CEAP 6). For postoperative wound complications, endoscopic techniques are more common than open subfascial division of incompetent perforating veins (Linton procedure). We investigated the long-term results of ulcer healing and recurrence rates and compared them with preoperative and postoperative duplex findings."
CD012164,0,24371974,0,[Prevention of diabetic foot].,"Diabetic foot (DF) is the most common chronic complication, which depends mostly on the duration and successful treatment of diabetes mellitus. Based on epidemiological studies, it is estimated that 25% of persons with diabetes mellitus (PwDM) will develop the problems with DF during lifetime, while 5% do 15% will be treated for foot or leg amputation. The treatment is prolonged and expensive, while the results are uncertain. The changes in DF are influenced by different factors usually connected with the duration and regulation of diabetes mellitus. The first problems with DF are the result of misbalance between nutritional, defensive and reparatory mechanisms on the one hand and the intensity of damaging factors against DF on the other hand. Diabetes mellitus is a state of chronic hyperglycemia, consisting of changes in carbohydrate, protein and fat metabolism. As a consequence of the long duration of diabetes mellitus, late complications can develop. Foot is in its structure very complex, combined with many large and small bones connected with ligaments, directed by many small and large muscles, interconnected with many small and large blood vessels and nerves. Every of these structures can be changed by nutritional, defensive and reparatory mechanisms with consequential DE Primary prevention of DF includes all measures involved in appropriate maintenance of nutrition, defense and reparatory mechanisms.First, it is necessary to identify the high-risk population for DF, in particular for macrovascular, microvascular and neural complications. The high-risk population of PwDM should be identified during regular examination and appropriate education should be performed. In this group, it is necessary to include more frequent and intensified empowerment for lifestyle changes, appropriate diet, regular exercise (including frequent breaks for short exercise during sedentary work), regular self control of body weight, quit smoking, and appropriate treatment of glycemia, lipid disorders (treatment with fenofibrate reduces the incidence of DF amputations (EBM-Ib/A), hypertension, hyperuricemia, neuropathy, and angiopathy (surgical reconstructive bypass) or endovascular (percutaneous transluminar angioplasty). In the low-risk group of PwDM, no particular results can be achieved, in contrast to the high-risk groups of PwDM where patient and professional education has shown significant achievement (EBM-IV/C). In secondary prevention of DF, it is necessary to perform patient and professional education how to avoid most of external influences for DE Patient education should include all topics from primary prevention, danger of neural analgesia (no cooling or warming the foot), careful selection of shoes, daily observation of foot, early detection all foot changes or small wounds, daily hygiene of foot skin, which has to be clean and moist, regular self measurements of skin temperature between the two feet (EBM-Ib/A), prevention of self treatment of foot deformities, changing wrong habits (walking footless), medical consultation for even small foot changes (EBM-Ib/A) and consultation by multidisciplinary team (EBM-IIb/B). Tertiary DF prevention includes ulcer treatment, prevention of amputation and level of amputation. In spite of the primary and secondary prevention measures, DF ulcers develop very often. Because of different etiologic reasons as well as different principles of treatment which are at the same time prevention of the level of amputation, the approach to PwDF has to be multidisciplinary. A high place in the treatment of DF ulcers, especially neuropathic ulcers, have the off-loading principles (EBM-Ib/A), even instead of surgical treatment (EBM-Ib/A). Necrectomy, taking samples for analysis from the deep of ulcer, together with x-ray diagnostics (in particular NMR), the size of the changes can be detected, together with appropriate antibiotic use and indication for major surgical treatment. The patient has to be instructed to the involved DF with off-loading (EBM-IIb/A). Negative pressure wound therapy can accelerate the closure of complex diabetic foot wounds (EBM- Ib/A). DF local treatment as well as ulcer covering for detritus absorption has not been EBM approved, although covering can diminish secondary infection. Skin or surrogate transplantations looks rationale but very expensive in comparison to off-loading. Randomized clinical trials do not prove usefulness of antibiotic treatment or surgical intervention in uninfected ulcer (EBM-IV/C), but the decision is left to the experienced physician. Evidence of osteomyelitis together with infected DF ulcer changes the prognosis of treatment, increasing the importance of antibiotic or surgical treatment (EBM-IIIB/B). Treatment with hyperbaric oxygen can help in wound healing, but without any influence on revascularization (EBM-Ib/A). At the end, the decision for the level of amputation has to be made. Charcot neuroarthropathy is still not clearly defined, so the randomized controlled trials are rare; thus, there are many new ways of treatment but the basics belongs to off-loading in simple changes through surgical treatment in more complex changes (EBM-IV/C)(rbn1). All available methods for detecting the level of vascularization, angioplasties, and oxymetry have to be used to decide on the minimal level of amputation."
CD012164,0,17903157,0,Endovenous laser treatment for varicose veins in patients with active ulcers: measurement of intravenous and perivenous temperatures during the procedure.,"Conventional saphenous vein stripping is difficult to be indicated for the treatment of varicose veins in patients classified as CEAP C4, C5, or C6."
CD012164,0,16950434,1,"Conservative versus surgical treatment of venous leg ulcers: a prospective, randomized, multicenter trial.","The prevalence of venous leg ulcers is as high as 1% to 1.5%, and the total costs of this disease are 1% of the total annual health care budget in Western European countries. Treatment modalities are conservative or surgical. Subfascial endoscopic perforating vein surgery (SEPS) combined with superficial vein ligation is performed in many centers to address vein incompetence in patients with chronic venous leg ulcers. Several reports describe good healing and low recurrence rates, although a randomized trial to compare surgical treatment including SEPS and treatment of the superficial venous system to conservative modalities has never been performed. Therefore, a prospective, randomized, multicenter trial was conducted to study whether ambulatory compression therapy with venous surgery is a better treatment than just ambulatory compression therapy in venous leg ulcer patients."
CD012164,0,11840425,0,Subfascial endoscopic perforator vein surgery: who benefits?,"The advent of minimally invasive endoscopic surgery has rekindled interest in perforator vein ligation. Subfascial endoscopic perforator vein surgery (SEPS) utilizes techniques to interrupt incompetent perforators under direct vision using an endoscopic videocamera and instrumentation placed through small ports remote from the active ulcer or area of diseased skin. The safety and early efficacy of SEPS has been established in several studies, and it yields lower wound complication rates than observed with open surgical techniques such as the Linton procedure. Available results confirm the superiority of SEPS over open perforator ligation, but do not address the its role in the surgical treatment of advanced chronic venous insufficiency (CVI) and venous ulceration. Ablation of superficial reflux by high ligation and stripping of the greater saphenous vein with avulsion of branch varicosities is concomitantly performed in the majority of patients undergoing SEPS. The clinical and hemodynamic improvements attributable to SEPS thus are difficult to ascertain. As with open perforator ligation, clinical and hemodynamic results are better in patients with primary valvular incompetence (PVI) than in those with the postthrombotic (PT) syndrome. Until prospective, randomized, multicenter clinical trials are carried out to answer lingering questions regarding the efficacy of SEPS, the procedure is recommended in patients with advanced CVI secondary to PVI of superficial and perforating veins, with or without deep venous incompetence. The performance of SEPS in patients with PT syndrome remains controversial."
CD012164,0,10173073,0,Cost-effective management of diabetic foot ulcers. A review.,"Foot lesions are common and serious complications in patients with diabetes mellitus. In recent years, several authors have, in addition to the medical aspects, focused on the high costs for treatment of this complication. However, few studies have performed a complete health-economic comparison and analysis of different treatments. This is probably related to the complexity of the problem and ethical difficulties in performing randomised clinical trials on these patients. Despite the lack of comparative health-economic studies, most authors conclude that amputations should be avoided if there is any possibility of saving the limb. This is not only because of the economic consequences-high costs for repeated hospitalisations, rehabilitation, home care and social-service support-associated with amputations, but also the quality-of-life aspects. Alternative treatment options might seem costly in the short term, but most cost-effectiveness analyses that also consider the long term perspective have concluded that treatment alternatives in which the limb is saved are more cost effective. Methodological aspects, such as the perspective of a study, may cause difficulties in comparing results between countries and settings. By using the societal perspective in economic studies, incentives to push costs from one sector to another might be avoided."
CD012164,0,15570276,0,The influence of superficial venous surgery and compression on incompetent calf perforators in chronic venous leg ulceration.,Previous studies have suggested that perforating vein incompetence is reduced by surgery to superficial veins. This study analysed the effect in a randomised clinical trial.
CD012164,0,14968212,0,Saphenofemoral ligation as a safe and effective alternative for the treatment of chronic venous leg ulcer.,To evaluate the effectiveness and safety of isolated saphenofemoral junction ligation for the treatment of chronic venous leg ulcer in comparison to traditional stripping procedure.
CD012164,0,17110137,0,Complete ulcer healing as primary endpoint in studies on critical limb ischemia? A critical reappraisal.,"Although complete ulcer healing is the mandatory primary efficacy criterion in current European guidelines for drug trials in critical limb ischemia (CLI), the appropriateness of this endpoint has been questioned for some time. We carried out a systematic review to assess the value of this endpoint in studies on reconstructive measures, considered to be the standard of care for CLI."
CD012164,0,14999989,0,Making sense of the venous leg ulcer debate: a literature review.,"Venous leg ulcers cause patients much distress. Treating them is expensive, with many hidden costs. As understanding of the causes and development of this condition improves, debate over the best treatments or treatment combinations is growing."
CD012164,0,15183623,0,Comparison of surgery and compression with compression alone in chronic venous ulceration (ESCHAR study): randomised controlled trial.,"Chronic venous leg ulceration can be managed by compression treatment, elevation of the leg, and exercise. The addition of ablative superficial venous surgery to this strategy has not been shown to affect ulcer healing, but does reduce ulcer recurrence. We aimed to assess healing and recurrence rates after treatment with compression with or without surgery in people with leg ulceration."
CD012164,0,15584055,0,Randomized clinical trial of compression plus surgery versus compression alone in chronic venous ulceration (ESCHAR study)--haemodynamic and anatomical changes.,The aim of this study was to evaluate the anatomical and haemodynamic effects of superficial venous surgery and compression on legs with chronic venous ulceration.
CD012164,0,14981453,0,Systematic review of outcomes after surgical management of venous disease incorporating subfascial endoscopic perforator surgery.,"In the United States more than 6 million persons have chronic venous insufficiency and more than 500,000 have venous ulcers. Patients in whom conservative therapies fail may improve after surgical treatment of superficial and perforating venous disease, but the degree of this benefit is uncertain."
CD012164,0,24796914,0,Management of peripheral arterial disease and the diabetic foot.,"The management of peripheral arterial disease (PAD) in patients with diabetic foot ulceration (DFU) is complex and there is a lack of robust evidence to guide definitive treatment strategies. Due to the distinct differences in etiology, disease distribution and treatment outcomes patients with diabetes, PAD and foot ulceration should be considered separately from those without diabetes. There is no randomized trial data to compare angioplasty and surgical bypass for revascularization in patients with DFU and PAD and the decision of whether, and how, to revascularize should be taken by experienced surgeons, in a multidisciplinary setting. Revascularization is only part of a treatment regimen which includes aggressive management of infection, neuropathy, foot deformity and cardiovascular risk. The burden and challenge of DFU in the context of PAD is continuing to increase and new research studies should be targeted specifically towards this ever-expanding group of patients."
CD012164,0,12651168,0,Minimally invasive surgical management of primary venous ulcers vs. compression treatment: a randomized clinical trial.,to compare minimally invasive surgical haemodynamic correction of reflux (CHIVA) with compression in the treatment of venous ulceration.
CD012164,0,23992895,0,Interventional radiology in the diabetic lower extremity.,"Most of what we know today for interventional techniques for revascularization in patients with DF disease is derived from our knowledge on CLI in patients with PAD. There are today no dedicated randomized controlled trials on interventional treatment of DF. It is, however, clear that huge progress in interventional techniques has been obtained during the past decade. In most institutions, the nonsurgical option is the current first choice. As the aim of treatment is ulcer healing through temporary increase in blood flow, it is still unclear what the contribution of new stent and drug-eluting technologies will have on the clinical outcome of DF treatment. Long-term follow-up studies, dedicated to patients with an arterial DF problem, have to be performed before we can evaluate all these new technologies."
CD012164,0,10192031,0,[Leg perforating veins].,"Our knowledge of the so-called incompetent leg perforating veins remains questionable. Anatomic and hemodynamic studies show that perforators in a healthy subject do not always convey inward flowing blood. Are incompetent perforating veins more frequent with increasing severity of chronic venous disease? Answering this question is difficult as no consensus has been established on how to assess incompetent leg perforating veins and we have no gold standard to refer to. The number of incompetent leg perforating veins is generally greater in severe chronic venous disease although their frequency in clinical stage 4 to 6 (CEAP classification) is not statistically different. This means that incompetent leg perforating veins are not markers of severity of chronic venous insufficiency. When analyzing published series which take into account etiology (primary or secondary venous diseases) the frequency of incompetent perforating veins is variable. Is surgical management required when incompetent leg perforating veins are present? Angiologists and surgeons have not come to an agreement on this point. What can be recommended today? It is generally accepted that the more severe the disease the more worthwhile surgical treatment. Technically speaking, subfascial endoscopic ligature is a promising new method although long-term results are still lacking. We must watch carefully the prospective and randomized studies which have been started in different countries. A lot of questions, only a few reliable answers."
CD012164,0,27095286,0,Evidence for varicose vein surgery in venous leg ulceration.,"Venous leg ulcers affect 1-3% of adults with a significant economic impact, utilizing 1% of annual healthcare budgets in some western European countries."
CD012164,0,19602507,0,The ESCHAR trial: should it change practice?,"Most leg ulcers are caused by venous disease, the most common cause of venous hypertension being superficial vein incompetence. The ESCHAR trial tested the value of superficial vein surgery combined with compression in the healing and recurrence of venous leg ulcers compared with compression alone."
