CD,Misc,PMID,label,title,abstract
CD009323,0,20301424,0,,
CD009323,0,22969197,0,National trends in resection of the distal pancreas.,To investigate national trends in distal pancreatectomy (DP) through query of three national patient care databases.
CD009323,0,22965511,0,Small bowel leiomyosarcoma: a case report and literature review.,"Small bowel neoplasms are very uncommon, especially leiomyosarcoma of the small bowel. Therefore, there is often a delay before small bowel leiomyosarcoma is diagnosed and treatment is started. A 60-year-old Caucasian male was admitted to our hospital with progressive melena. Gastroscopy and colonoscopy did not reveal the cause of the melena, but magnetic resonance imaging showed a jejunal tumor. After laparoscopic resection, the tumor appeared to be a grade 2 leiomyosarcoma. Small bowel neoplasms can be accurately detected by magnetic resonance enterography or wireless capsule endoscopy. Treatment almost always consists of resection of the primary tumor and its metastases. The role of chemo- and radiotherapy is not yet clear and prognosis remains very poor, with low five-year survival rates."
CD009323,0,22964716,0,Combined rifampicin and ursodeoxycholic acid treatment does not amplify rifampicin effects on hepatic detoxification and transport systems in humans.,Rifampicin (RIFA) and ursodeoxycholic acid (UDCA) were found to stimulate different but complementary hepatobiliary detoxification pathways in gallstone patients.
CD009323,0,22962366,0,Mesenteric cyst: drained and marsupialised laparoscopically avoiding enterectomy.,Abstract not available
CD009323,0,22958804,0,Small bowel adenocarcinoma. Two case reports.,"Introduction. Small bowel adenocarcinoma is a rare tumor, with a still not well studied tumorigenesis process, and non-specific symptoms that cause a delay in the diagnosis and consequently a worst outcome for the patient. Videocapsule endoscopy (VCE) and double-balloon enteroscopy (DBE) have revolutionized the diagnosis and management of patients with small bowel diseases. Surgery is the treatment of choice when feasible, while the chemotherapeutic approach is still not well standardized. Case reports. Two cases in 2 months (two women 52 and 72-yr-old) of primary bowel adenocarcinoma is reported. The site of the tumor was in jejunum, instead of the most common site in duodenum. The patients underwent DBE with biopsy and ink mark. Laparoscopic-assisted bowel segmental resection was performed. The pathologic diagnosis was primary jejunum adenocarcinoma. No post-operative mortality or significant morbidities were noted. Conclusion. The combination of DBE and laparocopic-assisted bowel surgery represents an ideal diagnostic and therapeutic method."
CD009323,0,22957924,0,"Laparoscopic resection of gastrointestinal stromal tumors: safe, efficient, and comparable oncologic outcomes.","Surgery of gastrointestinal stromal tumors (GISTs) has been modified, and laparoscopic resection of GIST has gained improvement and roles."
CD009323,0,22956220,0,[PPI-sensitive diarrhea - unusual case of an adolescent with sporadic gastrinoma].,A 14-year-old boy was admitted to hospital because of chronic episodic diarrhea lasting for 4 years. Previous investigations in the past had not revealed the cause of the symptoms.
CD009323,0,22955895,0,Laparoscopic distal gastrectomy with intracorporeal handsewn Billroth-I anastomosis (ICHSA).,"The number of cases of laparoscopic surgery has been increasing. Lymph node dissection has been standardized, and the enlarged view provided by laparoscopes allows for the procedure to be performed successfully entirely within the abdominal cavity, but many cases of reconstruction using the Billroth-I method are performed under direct vision through a small incision. In this study, by placing an anchor thread on a suture line on the lesser curvature of the stomach, we simplified the procedure for handsewn anastomosis and safely performed gastroduodenal anastomosis at low cost to obtain good results."
CD009323,0,22951042,0,[Laparoscopic drainage of a pancreatic pseudocyst: a case report].,"Pancreatic pseudocysts are defined as homogeneous pancreatic or peripancreatic collections that are not associated with necrotic tissue and are surrounded by granulated or fibrous tissue with no epithelium. Management has been classified as surgical (conventional and laparoscopic) and nonsurgical (endoscopic and radiologic). The aim of this report is to describe our initial experience in the management of a pancreatic pseudocyst by means of laparoscopic posterior cyst-gastrostomy anastomosis, performed at the Pancreas Clinic of the Hospital General ""Dr. Manuel Gea González"" in Mexico City. New techniques and instrumentation have contributed to the relatively recent development of laparoscopic pancreatic surgery. Our technique has practical advantages that have been confirmed by other authors, such as simple hemostasis, a wide viewing angle enabling adequate necrosectomy, anastomosis that does not require the use of staples, and the possibility of resolving other associated intra-abdominal pathologies, as in this case."
CD009323,0,22941685,0,[Anatomical observation on surgical spaces related to laparoscopic right hemicolectomy].,To explore regional anatomy of fasciae and spaces related to laparoscopic right hemicolectomy (LRC).
CD009323,0,22940828,0,Primary pancreatic lymphoma: will laparoscopy change the role of surgery in the treatment of this pathology?,Abstract not available
CD009323,0,22926892,0,Minimally invasive approaches to extrapancreatic cholangiocarcinoma.,"Due to the perceived difficulty in dissecting gallbladder cancers and extrapancreatic cholangiocarcinomas off of the portal structures and in performing complex biliary reconstructions, very few centers have used minimally invasive techniques to remove these tumors. Furthermore, due to the relative rarity of these tumors when compared to hepatocellular carcinoma, only a few reports have focused on short- and long-term results."
CD009323,0,22925292,0,"Diagnostic usefulness of precise examinations with intraductal ultrasonography, peroral cholangioscopy and laparoscopy of immunoglobulin G4-related sclerosing cholangitis.","Herein, a case of immunoglobulin G4 (IgG4)-related sclerosing cholangitis is reported. IgG4 was diagnosed based on observations from peroral cholangioscopy and laparoscopy, and these methods are proposed for definitive and precise diagnosis of this disease. A 76-year-old male patient with inguinal Paget's disease had intrahepatic bile duct dilatations detected with computed tomography at his periodic check-up. Magnetic resonance cholangiography showed stenosis of the upper common bile duct and poststenotic dilatation of left intrahepatic bile ducts. The portal tract and bilateral intrahepatic bile ducts were surrounded by a low-density area, facing a tumor-like lesion at segment 2. Cytological examinations of the stenotic and dilated lesions revealed no cellular atypia. Histological examination of the tumor showed normal liver tissue with infiltration of lymphocytes, indicating an inflammatory pseudotumor. Peroral cholangioscopy excluded the possibility of biliary cancer and indicated that the stenotic legion was of submucosal, not mucosal, origin. Laparoscopic observations showed discoloration with wide yellowish-white lobular markings and wide depressed lesions at segments 2 and 7. Liver histology showed mild cholangitis with infiltration of IgG4-positive plasma cells around the bile ducts. Serum IgG4 levels were elevated. From these findings, the patient was diagnosed with IgG4-related sclerosing cholangitis. After treatment with prednisolone, blood liver enzymes and IgG4 rapidly normalized, bile duct dilatations improved, and the hepatic pseudotumor disappeared. The cholangitis did not recur. In this case, biliary cancer was ruled out by observation with peroral cholangioscopy, and the spread of cholangitis in the liver periphery was verified with laparoscopy; this information could not be obtained with other modalities."
CD009323,0,22906350,0,Laparoscopic distal pancreatectomy for retrieval of a proximally migrated pancreatic stent.,"Pancreatic stents placed by ERCP are common in the treatment of benign and malignant pancreatic and biliary disease. Proximal migration of the stent into the duct occurs in 2% to 5% of cases, often resulting in pancreatitis. Although technically challenging, proximally migrated pancreatic stents can usually be removed endoscopically. Little has been written about surgical management of irretrievable stents, and no reports of laparoscopic approaches were found."
CD009323,0,22903253,0,Pulmonary and intestinal congenital anomalies masquerading as cystic suprarenal masses.,The prenatal finding of a cystic suprarenal mass (CSM) presents a wide differential diagnosis. The aim of this study was to present the natural course and outcome of antenatally diagnosed CSMs.
CD009323,0,22901904,0,To drain or not to drain in Roux-en-Y hepatojejunostomy for children with choledochal cysts in the laparoscopic era: a prospective randomized study.,"Routine drain placement after choledochal cyst (CDC) excision and Roux-en-Y hepatojejunostomy (RYHJ) is commonly practiced to predict and prevent bile/pancreatic leaks and hemorrhage. Recently, laparoscopic excision of CDC has decreased postoperative morbidity. The necessity of drainage has been questioned. We undertook a prospective randomized trial to assess the need for drainage."
CD009323,0,22892095,0,Single institution experience of single incision trans-umbilical laparoscopic cholecystectomy using conventional laparoscopic instruments.,"Since the implement of laparoscopic cholecystectomy as the gold standard treatment for gall bladder stones, there has been a trend toward minimizing the required number and size of ports to reduce postoperative pain with better cosmetic results. We conducted this study to evaluate the feasibility, safety, advantages and complications of single incision laparoscopic cholecystectomy using the conventional laparoscopic instruments."
CD009323,0,22889003,0,"Optical endomicroscopy and the road to real-time, in vivo pathology: present and future.","Epithelial cancers account for substantial mortality and are an important public health concern. With the need for earlier detection and treatment of these malignancies, the ability to accurately detect precancerous lesions has an increasingly important role in controlling cancer incidence and mortality. New optical technologies are capable of identifying early pathology in tissues or organs in which cancer is known to develop through stages of dysplasia, including the esophagus, colon, pancreas, liver, bladder, and cervix. These diagnostic imaging advances, together as a field known as optical endomicroscopy, are based on confocal microscopy, spectroscopy-based imaging, and optical coherence tomography (OCT), and function as ""optical biopsies,"" enabling tissue pathology to be imaged in situ and in real time without the need to excise and process specimens as in conventional biopsy and histopathology. Optical biopsy techniques can acquire high-resolution, cross-sectional images of tissue structure on the micron scale through the use of endoscopes, catheters, laparoscopes, and needles. Since the inception of these technologies, dramatic technological advances in accuracy, speed, and functionality have been realized. The current paradigm of optical biopsy, or single-area, point-based images, is slowly shifting to more comprehensive microscopy of larger tracts of mucosa. With the development of Fourier-domain OCT, also known as optical frequency domain imaging or, more recently, volumetric laser endomicroscopy, comprehensive surveillance of the entire distal esophagus is now achievable at speeds that were not possible with conventional OCT technologies. Optical diagnostic technologies are emerging as clinically useful tools with the potential to set a new standard for real-time diagnosis. New imaging techniques enable visualization of high-resolution, cross-sectional images and offer the opportunity to guide biopsy, allowing maximal diagnostic yields and appropriate staging without the limitations and risks inherent with current random biopsy protocols. However, the ability of these techniques to achieve widespread adoption in clinical practice depends on future research designed to improve accuracy and allow real-time data transmission and storage, thereby linking pathology to the treating physician. These imaging advances are expected to eventually offer a see-and-treat paradigm, leading to improved patient care and potential cost reduction."
CD009323,0,22886779,0,Predictors of incidental gallbladder cancer in patients undergoing cholecystectomy for benign gallbladder disease.,Discovery of incidental gallbladder cancer (IGC) has become more frequent due to adoption of laparoscopy. Gallbladder spillage during operation can disseminate cancer and worsen the prognosis.
CD009323,0,22884964,0,Laparoscopic ampullectomy.,Abstract not available
CD009323,0,22878579,0,[Laparoscopic distal pancreatectomy : is it superior to the open technique?].,Abstract not available
